run,op,chosen,accepted,best
27,_op_push_production_forward,119,100,0
27,_op_move_to_previous_day,438,438,5
28,_op_eliminate_shortage,202,18,18
28,_op_reduce_setups,1047,814,9
28,_op_aggressive_gather,2084,2061,0
28,_op_balance_workload,638,638,3
28,_op_optimize_item_pattern,84,30,6
28,_op_fill_valleys,435,435,1
28,_op_push_production_forward,109,108,3
28,_op_move_to_previous_day,401,401,4
29,_op_eliminate_shortage,187,162,22
29,_op_reduce_setups,1028,799,18
29,_op_aggressive_gather,2094,2072,0
29,_op_balance_workload,649,649,1
29,_op_optimize_item_pattern,101,29,7
29,_op_fill_valleys,410,410,0
29,_op_push_production_forward,119,107,0
29,_op_move_to_previous_day,412,412,5
30,_op_eliminate_shortage,243,195,15
30,_op_reduce_setups,1058,846,15
30,_op_aggressive_gather,2063,2063,0
30,_op_balance_workload,629,629,4
30,_op_optimize_item_pattern,103,24,4
30,_op_fill_valleys,407,407,3
30,_op_push_production_forward,92,78,0
30,_op_move_to_previous_day,405,405,5
