run,op,chosen,accepted,best
9,_op_fill_valleys,428,421,0
9,_op_push_production_forward,104,103,0
9,_op_eliminate_shortage,203,4,4
9,_op_balance_workload,631,631,1
9,_op_aggressive_gather,2063,2007,0
10,_op_move_to_previous_day,461,459,1
10,_op_optimize_item_pattern,104,35,7
10,_op_reduce_setups,1015,822,12
10,_op_fill_valleys,425,424,1
10,_op_push_production_forward,100,92,3
10,_op_eliminate_shortage,200,26,26
10,_op_balance_workload,645,645,0
10,_op_aggressive_gather,2050,2050,0
11,_op_move_to_previous_day,439,438,2
11,_op_optimize_item_pattern,97,45,6
11,_op_eliminate_shortage,198,54,13
11,_op_reduce_setups,1047,853,13
11,_op_fill_valleys,400,400,1
11,_op_push_production_forward,93,88,2
11,_op_balance_workload,659,659,2
11,_op_aggressive_gather,2067,2047,0
12,_op_move_to_previous_day,429,429,3
12,_op_optimize_item_pattern,100,24,7
12,_op_reduce_setups,1002,744,5
12,_op_fill_valleys,382,382,0
12,_op_push_production_forward,95,93,0
12,_op_eliminate_shortage,209,191,5
12,_op_balance_workload,640,640,12
12,_op_aggressive_gather,2143,2141,0
13,_op_move_to_previous_day,419,419,4
13,_op_optimize_item_pattern,93,20,3
13,_op_eliminate_shortage,209,144,12
13,_op_reduce_setups,993,763,8
13,_op_fill_valleys,433,428,0
13,_op_push_production_forward,99,94,1
13,_op_balance_workload,646,646,10
13,_op_aggressive_gather,2108,2105,0
14,_op_move_to_previous_day,413,413,1
14,_op_optimize_item_pattern,104,39,4
14,_op_eliminate_shortage,210,185,12
14,_op_reduce_setups,1074,864,12
14,_op_push_production_forward,116,110,1
14,_op_fill_valleys,409,409,0
14,_op_balance_workload,603,603,5
14,_op_aggressive_gather,2071,2035,0
15,_op_move_to_previous_day,441,441,1
15,_op_optimize_item_pattern,105,34,7
15,_op_eliminate_shortage,187,120,15
15,_op_reduce_setups,1030,800,9
15,_op_fill_valleys,414,414,2
15,_op_push_production_forward,111,105,1
15,_op_balance_workload,614,614,5
15,_op_aggressive_gather,2098,2095,0
16,_op_move_to_previous_day,381,381,4
16,_op_optimize_item_pattern,104,35,9
16,_op_eliminate_shortage,206,114,16
16,_op_reduce_setups,1091,895,17
16,_op_fill_valleys,418,418,0
16,_op_push_production_forward,99,84,1
16,_op_balance_workload,648,648,2
16,_op_aggressive_gather,2053,2053,0
17,_op_move_to_previous_day,400,400,1
17,_op_optimize_item_pattern,106,31,8
17,_op_eliminate_shortage,230,42,20
17,_op_reduce_setups,1041,778,12
17,_op_fill_valleys,409,409,0
17,_op_push_production_forward,103,90,1
17,_op_balance_workload,664,664,5
17,_op_aggressive_gather,2047,2046,0
18,_op_move_to_previous_day,380,380,0
18,_op_optimize_item_pattern,100,24,5
18,_op_eliminate_shortage,191,102,11
18,_op_reduce_setups,1125,867,15
18,_op_fill_valleys,385,385,0
18,_op_push_production_forward,115,102,0
18,_op_balance_workload,634,634,1
18,_op_aggressive_gather,2070,2038,0
19,_op_move_to_previous_day,388,388,2
19,_op_optimize_item_pattern,102,9,1
19,_op_eliminate_shortage,198,172,1
19,_op_reduce_setups,1052,743,14
19,_op_fill_valleys,429,429,2
19,_op_push_production_forward,107,96,0
19,_op_balance_workload,638,638,7
19,_op_aggressive_gather,2086,2001,0
20,_op_move_to_previous_day,434,434,1
20,_op_optimize_item_pattern,100,26,5
20,_op_eliminate_shortage,215,202,23
20,_op_reduce_setups,1045,779,15
20,_op_fill_valleys,425,425,0
20,_op_push_production_forward,106,96,0
20,_op_balance_workload,577,577,11
20,_op_aggressive_gather,2098,2084,0
21,_op_move_to_previous_day,405,405,2
21,_op_optimize_item_pattern,86,11,7
21,_op_eliminate_shortage,215,207,26
21,_op_reduce_setups,1036,770,17
21,_op_fill_valleys,413,413,0
21,_op_push_production_forward,104,82,0
21,_op_balance_workload,632,632,6
21,_op_aggressive_gather,2109,2067,0
22,_op_move_to_previous_day,409,409,2
22,_op_optimize_item_pattern,97,33,2
22,_op_reduce_setups,1085,792,4
22,_op_fill_valleys,393,392,2
22,_op_push_production_forward,116,111,0
22,_op_eliminate_shortage,204,204,14
22,_op_balance_workload,592,592,18
22,_op_aggressive_gather,2104,2098,0
23,_op_move_to_previous_day,425,425,1
23,_op_optimize_item_pattern,111,23,1
23,_op_eliminate_shortage,211,206,19
23,_op_reduce_setups,1050,780,8
23,_op_push_production_forward,86,75,0
23,_op_fill_valleys,429,422,1
23,_op_balance_workload,557,557,3
23,_op_aggressive_gather,2131,1965,1
24,_op_move_to_previous_day,418,418,2
24,_op_optimize_item_pattern,99,24,6
24,_op_eliminate_shortage,194,146,26
24,_op_reduce_setups,1054,773,6
24,_op_fill_valleys,416,415,3
24,_op_push_production_forward,113,95,4
24,_op_balance_workload,600,600,7
24,_op_aggressive_gather,2106,2091,0
25,_op_move_to_previous_day,440,440,3
25,_op_optimize_item_pattern,109,27,2
25,_op_eliminate_shortage,199,160,19
25,_op_reduce_setups,1053,811,11
25,_op_fill_valleys,395,393,0
25,_op_push_production_forward,100,92,0
25,_op_balance_workload,593,593,1
25,_op_aggressive_gather,2111,2087,0
26,_op_move_to_previous_day,378,378,5
26,_op_optimize_item_pattern,106,38,6
26,_op_eliminate_shortage,194,141,13
26,_op_reduce_setups,1039,837,10
26,_op_push_production_forward,106,102,1
26,_op_fill_valleys,428,425,0
26,_op_balance_workload,658,658,10
26,_op_aggressive_gather,2091,2091,0
27,_op_move_to_previous_day,382,382,1
27,_op_optimize_item_pattern,99,28,7
27,_op_eliminate_shortage,201,11,11
27,_op_reduce_setups,1068,917,13
27,_op_fill_valleys,432,432,1
27,_op_push_production_forward,104,95,2
27,_op_balance_workload,639,639,1
27,_op_aggressive_gather,2075,2009,0
28,_op_move_to_previous_day,418,418,0
28,_op_optimize_item_pattern,89,35,5
28,_op_eliminate_shortage,193,7,7
28,_op_reduce_setups,1064,870,9
28,_op_fill_valleys,402,402,1
28,_op_push_production_forward,107,101,3
28,_op_balance_workload,565,564,3
28,_op_aggressive_gather,2162,2162,0
29,_op_move_to_previous_day,442,442,4
29,_op_optimize_item_pattern,102,38,5
29,_op_eliminate_shortage,213,152,12
29,_op_reduce_setups,1017,767,13
29,_op_fill_valleys,427,427,0
29,_op_push_production_forward,125,112,0
29,_op_balance_workload,613,613,5
29,_op_aggressive_gather,2061,2025,0
30,_op_move_to_previous_day,413,411,3
30,_op_optimize_item_pattern,113,34,5
30,_op_eliminate_shortage,207,90,11
30,_op_reduce_setups,1034,797,12
30,_op_fill_valleys,423,423,1
30,_op_push_production_forward,101,98,0
30,_op_balance_workload,623,623,10
30,_op_aggressive_gather,2086,2052,0
